Standard Stars G Band																										
#    	Image	Index 	Name  	Mag   	FWHM	Peak	Std?  	Error 	Error(T)	X	Y	Column	Row  	Backgr	S/N   	Mag Std	Residual	Net Count	Filter	Date	Time	JD	Airmass	ExpTime	Weight	Notes      
64	ngc2158_30_hi_g-0001_stack_wcs.fits	73	Mira-73	14.7856	0.01	0.0135	06h07m55.967s	"24°03'45.777"""	433.174	998.561	467.49	80.6	0	25052.6	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
65	ngc2158_30_hi_g-0001_stack_wcs.fits	74	Mira-74	15.5067	0.0151	0.0226	06h06m49.728s	"23°56'56.638"""	1834.698	444.29	458.487	48	0	12895.5	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
66	ngc2158_30_hi_g-0001_stack_wcs.fits	75	Mira-75	15.2998	0.0134	0.0194	06h07m01.843s	"23°57'41.034"""	1580.276	499.437	460.013	56	0	15602.8	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
67	ngc2158_30_hi_g-0001_stack_wcs.fits	76	Mira-76	16.2223	0.0219	0.0399	06h07m02.790s	"23°58'28.571"""	1557.391	570.383	457.481	27.2	0	6670.91	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
68	ngc2158_30_hi_g-0001_stack_wcs.fits	77	Mira-77	14.1878	0.008	0.0091	06h06m55.327s	"23°59'13.047"""	1709.173	644.998	470.009	119.4	0	43450.3	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
69	ngc2158_30_hi_g-0001_stack_wcs.fits	78	Mira-78	15.7051	0.0159	0.0264	06h06m54.627s	"24°00'22.723"""	1718.914	751.044	458.978	41.2	0	10742	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
70	ngc2158_30_hi_g-0001_stack_wcs.fits	79	Mira-79	14.8853	0.0105	0.0144	06h07m03.623s	"24°00'16.170"""	1532.757	732.259	459.046	75.5	0	22855.8	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
71	ngc2158_30_hi_g-0001_stack_wcs.fits	80	Mira-80	15.1637	0.0123	0.0175	06h07m08.768s	"23°59'52.505"""	1427.65	691.423	457.484	62	0	17686.6	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
72	ngc2158_30_hi_g-0001_stack_wcs.fits	81	Mira-81	12.8501	0.0057	0.0043	06h07m20.678s	"24°00'24.254"""	1178.451	727.792	507.061	255.4	0	148960	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
73	ngc2158_30_hi_g-0001_stack_wcs.fits	82	Mira-82	14.734	0.01	0.013	06h07m19.415s	"24°00'03.532"""	1206.04	697.689	466.495	83.5	0	26273.6	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
74	ngc2158_30_hi_g-0001_stack_wcs.fits	83	Mira-83	14.4286	0.0085	0.0106	06h07m30.971s	"23°59'11.586"""	969.802	607.922	470.534	102.3	0	34805.7	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
75	ngc2158_30_hi_g-0001_stack_wcs.fits	84	Mira-84	14.6668	0.0104	0.0124	06h07m03.158s	"23°54'57.070"""	1564.159	250.217	468.03	87.4	0	27951.3	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
76	ngc2158_30_hi_g-0001_stack_wcs.fits	85	Mira-85	15.0577	0.0123	0.0163	06h07m05.582s	"23°53'17.681"""	1520.618	97.548	463.505	66.7	0	19499.2	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
77	ngc2158_30_hi_g-0001_stack_wcs.fits	86	Mira-86	15.6683	0.0155	0.0258	06h07m24.047s	"23°54'51.655"""	1130.932	221.59	470.483	42	0	11112.1	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
78	ngc2158_30_hi_g-0001_stack_wcs.fits	87	Mira-87	14.6795	0.0101	0.0126	06h07m28.288s	"23°53'40.776"""	1047.642	110.294	476.996	86.3	0	27624.8	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
79	ngc2158_30_hi_g-0001_stack_wcs.fits	88	Mira-88	13.1109	0.0052	0.0049	06h07m35.063s	"23°54'00.192"""	905.701	133.099	516.097	221.6	0	117157	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
80	ngc2158_30_hi_g-0001_stack_wcs.fits	89	Mira-89	14.596	0.0095	0.0119	06h07m41.673s	"23°55'17.390"""	763.34	243.466	480.009	91.2	0	29834.2	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
81	ngc2158_30_hi_g-0001_stack_wcs.fits	90	Mira-90	15.3047	0.0132	0.0193	06h06m54.878s	"24°10'44.344"""	1671.104	1690.718	447.014	56.3	0	15531.8	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
82	ngc2158_30_hi_g-0001_stack_wcs.fits	91	Mira-91	13.6494	0.006	0.0065	06h07m03.466s	"24°09'31.060"""	1498.189	1571.444	456.979	165.8	0	71341.8	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
